dataset,filename,order,trend,score,AUC_ROC,AUC_PR,Precision,Recall,F,Precision@k,Rprecision,Rrecall,RF
Dodgers,101-freeway-traffic.test.out,"1,1,1",n,abs_resid,0.32560179010366347,0.0919005178412857,0.2048780487804878,0.025974025974025976,0.04610318331503842,0.025974025974025976,0.175512104283054,0.24558824418726527,0.20471941987730527
ECG,MBA_ECG801_data.out,"1,1,1",n,abs_resid,0.500837487393069,0.47657443212335804,0.49624060150375937,0.018471872376154493,0.035617916891527254,0.018471872376154493,0.4899193548387097,0.17731182057100994,0.26038499380993047
ECG,MBA_ECG803_data.out,"1,1,1",n,abs_resid,0.5445272175024242,0.06500463436819043,0.033185840707964605,0.015384615384615385,0.02102312543798178,0.015384615384615385,0.036211699164345405,0.21230769230769234,0.06187060284177128
ECG,MBA_ECG805_data.out,"1,1,1",n,abs_resid,0.6312379917962103,0.04997290051635822,0.03611111111111111,0.02564102564102564,0.029988465974625143,0.02564102564102564,0.03812316715542522,0.20789067142008316,0.06443093496278156
ECG,MBA_ECG806_data.out,"1,1,1",n,abs_resid,0.4627278898969327,0.009657580875220539,0.012571428571428572,0.03666666666666667,0.01872340425531915,0.03666666666666667,0.008503401360544218,0.22666666666666668,0.01639186192266898
ECG,MBA_ECG820_data.out,"1,1,1",n,abs_resid,0.4940992448759439,0.05672670482126681,0.04181818181818182,0.025555555555555557,0.031724137931034485,0.025555555555555557,0.055928411633109625,0.2106666666666667,0.08839061940565701
IOPS,KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,"1,1,1",n,abs_resid,0.7731883613981587,0.4167294637885856,0.4397590361445783,0.47096774193548385,0.45482866043613707,0.47096774193548385,0.20204402515723272,0.493243661100804,0.2866638850126608
IOPS,KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,"1,1,1",n,abs_resid,0.3596180549381449,0.08428623517042454,0.171875,0.15492957746478872,0.16296296296296298,0.15492957746478872,0.16369047619047622,0.40055555555555555,0.23240617014792414
IOPS,KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,"1,1,1",n,abs_resid,0.9137778689328153,0.6158206192319453,0.5576923076923077,0.6904761904761905,0.6170212765957447,0.6904761904761905,0.31209150326797386,0.529741108564638,0.3927804568057152
IOPS,KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,"1,1,1",n,abs_resid,0.6772189864792978,0.34321013985367216,0.6036036036036037,0.32524271844660196,0.4227129337539432,0.32524271844660196,0.5103896103896104,0.5039682539682541,0.5071586070945913
IOPS,KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,"1,1,1",n,abs_resid,0.876251229167192,0.2900783922695117,0.17142857142857143,0.47058823529411764,0.2513089005235602,0.47058823529411764,0.10677966101694915,0.3319420289855073,0.16158151347453242
IOPS,KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,"1,1,1",n,abs_resid,0.7936998702461042,0.1689337490374391,0.11515151515151516,0.2753623188405797,0.1623931623931624,0.2753623188405797,0.06367041198501873,0.3445657554739562,0.10748015661380961
IOPS,KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,"1,1,1",n,abs_resid,0.9234618099598171,0.7030941037318248,0.9370629370629371,0.5469387755102041,0.6907216494845361,0.5469387755102041,0.9285714285714286,0.39389369889369896,0.5531464340206597
IOPS,KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,"1,1,1",n,abs_resid,0.9122096567511414,0.5302915351451135,0.125,0.6666666666666666,0.21052631578947367,0.6666666666666666,0.06666666666666667,0.7333333333333334,0.12222222222222222
IOPS,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,"1,1,1",n,abs_resid,0.7999652222814183,0.2813257371343229,0.4482758620689655,0.24074074074074073,0.3132530120481928,0.24074074074074073,0.19964157706093189,0.4918912628590048,0.28401239041962084
IOPS,KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,"1,1,1",n,abs_resid,0.6639579558355827,0.13802944469992454,0.3473053892215569,0.07369758576874205,0.12159329140461216,0.07369758576874205,0.3071625344352617,0.4808170702220994,0.3748548541516558
IOPS,KPI-57051487-3a40-3828-9084-a12f7f23ee38.test.out,"1,1,1",n,abs_resid,0.9796557620235085,0.8691368010744648,0.9024390243902439,0.8043478260869565,0.8505747126436781,0.8043478260869565,0.8555555555555555,0.6636767676767678,0.7474990322361403
IOPS,KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out,"1,1,1",n,abs_resid,0.9710440101149769,0.3670351164774537,0.01509433962264151,0.6666666666666666,0.02952029520295203,0.6666666666666666,0.004637539663168172,0.7333333333333334,0.00921679308520021
IOPS,KPI-6d1114ae-be04-3c46-b5aa-be1a003a57cd.test.out,"1,1,1",n,abs_resid,0.6988687505307155,0.18133666682140204,0.3090909090909091,0.21935483870967742,0.25660377358490566,0.21935483870967742,0.21849593495934957,0.5004777905785971,0.30419015019510226
IOPS,KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out,"1,1,1",n,abs_resid,0.8084808583316788,0.2864563900741813,0.40210526315789474,0.11660561660561661,0.18078561287269285,0.11660561660561661,0.3628048780487805,0.31118165815477383,0.3350162576653104
IOPS,KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,"1,1,1",n,abs_resid,0.9419281198348638,0.35043609366809836,0.06976744186046512,0.3333333333333333,0.11538461538461539,0.3333333333333333,0.07692307692307693,0.4666666666666666,0.1320754716981132
IOPS,KPI-847e8ecc-f8d2-3a93-9107-f367a0aab37d.test.out,"1,1,1",n,abs_resid,0.865953233088412,0.4753861924039272,0.4028776978417266,0.5233644859813084,0.45528455284552843,0.5233644859813084,0.22892720306513406,0.39205334623968163,0.28906437120278056
IOPS,KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,"1,1,1",n,abs_resid,0.7413362243492073,0.1901958733578931,0.330188679245283,0.22012578616352202,0.2641509433962264,0.22012578616352202,0.273972602739726,0.4875512032770096,0.35081154673121806
IOPS,KPI-9c639a46-34c8-39bc-aaf0-9144b37adfc8.test.out,"1,1,1",n,abs_resid,0.8322537512999556,0.23956713383212722,0.20425531914893616,0.3,0.2430379746835443,0.3,0.12371134020618557,0.3087260101545816,0.1766401928088254
IOPS,KPI-a07ac296-de40-3a7c-8df3-91f642cc14d0.test.out,"1,1,1",n,abs_resid,0.6403349939534151,0.10853607648106652,0.27007299270072993,0.08624708624708624,0.13074204946996468,0.08624708624708624,0.1963696369636964,0.4322277617119722,0.2700501428476446
IOPS,KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,"1,1,1",n,abs_resid,0.7887077462518902,0.21454686343740328,0.2641509433962264,0.2204724409448819,0.24034334763948498,0.2204724409448819,0.2235294117647059,0.4634679186228482,0.30159858456257743
IOPS,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.test.out,"1,1,1",n,abs_resid,0.8003216734287752,0.250984634767111,0.6052631578947368,0.12299465240641712,0.20444444444444446,0.12299465240641712,0.6759259259259259,0.24538872891814068,0.36006070875721174
IOPS,KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.out,"1,1,1",n,abs_resid,0.8641399771406337,0.35072653560062506,0.24545454545454545,0.5,0.32926829268292684,0.5,0.16379310344827586,0.4133712905452036,0.2346207328776514
IOPS,KPI-ba5f3328-9f3f-3ff5-a683-84437d16d554.test.out,"1,1,1",n,abs_resid,0.665367033246926,0.15102616156964813,0.35323383084577115,0.08472553699284009,0.136669874879692,0.08472553699284009,0.2897350993377484,0.42569136201637364,0.34479498795051045
IOPS,KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251.test.out,"1,1,1",n,abs_resid,0.2802859596732211,0.14555098957356305,0.35294117647058826,0.19672131147540983,0.25263157894736843,0.19672131147540983,0.2159090909090909,0.6449999999999999,0.32352164730728616
IOPS,KPI-c69a50cf-ee03-3bd7-831e-407d36c7ee91.test.out,"1,1,1",n,abs_resid,0.93890274125102,0.6529226617985016,0.5428571428571428,0.7215189873417721,0.6195652173913043,0.7215189873417721,0.3395197395197395,0.5329720404908375,0.414799388382913
IOPS,KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.test.out,"1,1,1",n,abs_resid,0.820554473957127,0.30033145223930546,0.3660130718954248,0.3010752688172043,0.3303834808259587,0.3010752688172043,0.3215261514441842,0.41811954842543086,0.36351558394108824
IOPS,KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d.test.out,"1,1,1",n,abs_resid,0.5664722005633086,0.2830762321597299,0.3953488372093023,0.29310344827586204,0.33663366336633666,0.29310344827586204,0.26153846153846155,0.5566284779050736,0.35586809669626235
IOPS,KPI-f0932edd-6400-3e63-9559-0a9860a1baa9.test.out,"1,1,1",n,abs_resid,0.9146200522416045,0.6575198531612086,0.5050505050505051,0.7352941176470589,0.5988023952095808,0.7352941176470589,0.20864197530864195,0.48693602693602694,0.29211761781143475
IOPS,KPI-ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa.test.out,"1,1,1",n,abs_resid,0.9990001599744042,0.5811673497983317,0.4074074074074074,0.7857142857142857,0.5365853658536586,0.7857142857142857,0.5526315789473684,0.4095238095238095,0.4704350091169575
MGAB,1.test.out,"1,1,1",n,abs_resid,0.4163643954575818,0.0015890540542894715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAB,10.test.out,"1,1,1",n,abs_resid,0.5309502338009352,0.0020059791028633747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAB,2.test.out,"1,1,1",n,abs_resid,0.4675629035849477,0.0019430745522559102,0.00980392156862745,0.016666666666666666,0.012345679012345678,0.016666666666666666,0.009900990099009901,0.08,0.01762114537444934
MGAB,3.test.out,"1,1,1",n,abs_resid,0.45736806947227787,0.001851565378884224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAB,4.test.out,"1,1,1",n,abs_resid,0.5176637700534759,0.002677685604322203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAB,5.test.out,"1,1,1",n,abs_resid,0.4984170560747664,0.0023623122962649658,0.010752688172043012,0.025,0.015037593984962405,0.025,0.010869565217391304,0.12000000000000001,0.019933554817275746
MGAB,6.test.out,"1,1,1",n,abs_resid,0.47464655748663104,0.0026374516680420265,0.0136986301369863,0.0125,0.013071895424836602,0.0125,0.013888888888888888,0.060000000000000005,0.022556390977443608
MGAB,7.test.out,"1,1,1",n,abs_resid,0.4748073925629036,0.0018830602227754398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAB,8.test.out,"1,1,1",n,abs_resid,0.42497327989311956,0.0016339379637437903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAB,9.test.out,"1,1,1",n,abs_resid,0.540767646403919,0.002455460924840809,0.006024096385542169,0.016666666666666666,0.008849557522123894,0.016666666666666666,0.006060606060606061,0.08,0.011267605633802818
NAB,NAB_data_CloudWatch_1.out,"1,1,1",n,abs_resid,0.4037489672266593,0.10933232541870544,0.1875,0.0075,0.014423076923076924,0.0075,0.1875,0.20400000000000001,0.19540229885057472
NAB,NAB_data_CloudWatch_10.out,"1,1,1",n,abs_resid,0.5419417105708711,0.15482107152154784,0.16326530612244897,0.03980099502487562,0.064,0.03980099502487562,0.1875,0.13759772565742714,0.1587188806602356
NAB,NAB_data_CloudWatch_11.out,"1,1,1",n,abs_resid,0.8348303947334149,0.39420450056922396,1.0,0.012437810945273632,0.02457002457002457,0.012437810945273632,1.0,0.20497512437810947,0.3402146985962015
NAB,NAB_data_CloudWatch_12.out,"1,1,1",n,abs_resid,0.7455059065228556,0.27330624761978783,0.2682926829268293,0.046610169491525424,0.07942238267148015,0.046610169491525424,0.23076923076923078,0.20400616332819724,0.21656398233466007
NAB,NAB_data_CloudWatch_13.out,"1,1,1",n,abs_resid,0.5333647755439272,0.12009645398999094,0.15789473684210525,0.03,0.05042016806722689,0.03,0.1388888888888889,0.20483333333333334,0.16553526210872258
NAB,NAB_data_CloudWatch_14.out,"1,1,1",n,abs_resid,0.602107968991086,0.14754152633153833,0.2857142857142857,0.03463203463203463,0.06177606177606178,0.03463203463203463,0.21052631578947367,0.208946608946609,0.20973348783314022
NAB,NAB_data_CloudWatch_15.out,"1,1,1",n,abs_resid,0.5137991228576375,0.11493643110021147,0.18181818181818182,0.016129032258064516,0.02962962962962963,0.016129032258064516,0.16666666666666666,0.11290322580645162,0.13461538461538464
NAB,NAB_data_CloudWatch_16.out,"1,1,1",n,abs_resid,0.669871936105756,0.2065786999439767,0.3902439024390244,0.04,0.07256235827664399,0.04,0.3333333333333333,0.20533333333333334,0.25412541254125415
NAB,NAB_data_CloudWatch_17.out,"1,1,1",n,abs_resid,0.5220559074635087,0.1443226922311731,0.5882352941176471,0.025,0.047961630695443645,0.025,0.42857142857142855,0.21500000000000002,0.2863485016648169
NAB,NAB_data_CloudWatch_2.out,"1,1,1",n,abs_resid,0.5602981272376755,0.12826759464150328,0.20588235294117646,0.0175,0.03225806451612903,0.0175,0.21212121212121213,0.20400000000000001,0.20798135741334112
NAB,NAB_data_CloudWatch_3.out,"1,1,1",n,abs_resid,0.5982559900853759,0.1740907110262193,0.7333333333333333,0.0275,0.05301204819277108,0.0275,0.7,0.20616666666666666,0.31852124333272025
