dataset,filename,window,AUC_ROC,AUC_PR,Precision,Recall,F,Precision@k,Rprecision,Rrecall,RF
Dodgers,101-freeway-traffic.test.out,100,0.30759396202762523,0.0763268257819956,0.12550607287449392,0.0191713048855906,0.033261802575107295,0.0191713048855906,0.11894273127753303,0.1350878497894172,0.1265022325176489
ECG,MBA_ECG801_data.out,100,0.5055527237611233,0.47884599667067257,0.46368715083798884,0.011614889448642597,0.02266211604095563,0.011614889448642597,0.4797687861271676,0.09707845229537503,0.16148195957120878
ECG,MBA_ECG803_data.out,100,0.6068265939753543,0.07823729643280586,0.0039946737683089215,0.003076923076923077,0.0034762456546929316,0.003076923076923077,0.005893909626719057,0.03241025641025641,0.009974012856797164
ECG,MBA_ECG805_data.out,100,0.745479418003176,0.11779098413588004,0.17632241813602015,0.13806706114398423,0.15486725663716813,0.13806706114398423,0.06965174129353234,0.2407447019211725,0.10804432887398291
ECG,MBA_ECG806_data.out,100,0.466132382892057,0.00958331937052824,0.003973509933774834,0.01,0.005687203791469194,0.01,0.006521739130434782,0.15800000000000003,0.01252642706131078
ECG,MBA_ECG820_data.out,100,0.7954760851512963,0.16648843087602638,0.14928057553956833,0.09222222222222222,0.11401098901098901,0.09222222222222222,0.1465599051008304,0.22108148148148152,0.17626786389144708
IOPS,KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,100,0.7554510649695312,0.0419283116141219,0.060218978102189784,0.2129032258064516,0.09388335704125178,0.2129032258064516,0.03986332574031891,0.2843582251082251,0.06992418933757631
IOPS,KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,100,0.41531029399165564,0.006273968386066595,0.006329113924050633,0.014084507042253521,0.008733624454148471,0.014084507042253521,0.006329113924050633,0.060000000000000005,0.011450381679389315
IOPS,KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,100,0.7523073618872189,0.05739315328506436,0.07789855072463768,0.5119047619047619,0.13522012578616352,0.5119047619047619,0.03659611992945327,0.40267379679144394,0.06709450385235968
IOPS,KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,100,0.5021317798749114,0.025186472676718776,0.047058823529411764,0.038834951456310676,0.0425531914893617,0.038834951456310676,0.047058823529411764,0.09626262626262627,0.06321462625927615
